o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46
0,0.577017115,0,0,0.007334963,0,0.004889976,0.002444988,0.215158924,0,0,0.13202934,0.002444988,0,0,0,0,0,0.014669927,0.007334963,0,0,0,0,0,0,0,0,0,0,0,0,0.009779951,0,0,0,0,0.002444988,0.002444988,0,0.009779951,0,0,0,0,0.012224939
0,0,0,0,8.73E-05,0,0,0,0,8.73E-05,8.73E-05,0.999301798,0,0,0,0,0,0,8.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73E-05,0,0,0,0,0.000174551,0,0,0,0,8.73E-05,0,0,0
7.45E-05,0.009909104,7.45E-05,0,0.000372523,0,0,0,7.45E-05,0,0,0.988079273,0,0,0,0,0,0,0,0.000372523,7.45E-05,0,7.45E-05,0,0,0,0,0,0,0,0,0,0.000223514,0,0,0,0,0,7.45E-05,0,0.000223514,0,7.45E-05,0,0,0.000298018
0,0.682492582,0,0,0.017804154,0,0,0,0.183976261,0,0,0.086053412,0,0,0,0,0,0,0.008902077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005934718,0,0,0,0,0,0.002967359,0,0.005934718,0,0,0,0,0.005934718
0.001658375,0.767827529,0,0.00331675,0.004975124,0,0,0,0.149253731,0,0,0.048092869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009950249,0,0,0,0,0.001658375,0,0,0.011608624,0,0,0,0,0.001658375
0,0.001943005,0,0.000647668,0.003238342,0,0,0,0.000647668,0,0,0.964378238,0,0,0,0,0,0,0.001295337,0.001943005,0.000647668,0,0,0,0,0,0,0,0,0,0,0,0.001295337,0,0,0,0,0,0,0,0.00388601,0,0.000647668,0,0.012953368,0.006476684
0,0.797809604,0,0,0.026116259,0,0,0,0.01179444,0,0,0.037910699,0,0,0,0,0,0,0.00336984,0.00505476,0.01179444,0,0,0,0,0,0.0084246,0,0,0,0,0,0.066554339,0,0,0.00168492,0,0,0,0,0.02021904,0,0.0084246,0,0.00084246,0
0,0.877275396,0,0,0.003523194,0,0.004697592,0.000587199,0.054022314,0,0,0.025836759,0,0,0,0,0,0,0,0.001174398,0.003523194,0,0,0,0,0,0.001174398,0,0,0,0,0,0.009395185,0,0,0,0,0.001761597,0,0,0.017028773,0,0,0,0,0
0,0,0,0.000239808,0.032014388,0,0.000719424,0,0.00E+00,0,0.00E+00,0.890047962,0.000239808,0,0,0,0,0,0.036690647,0,0,0,0.004436451,0,0.001558753,0,0.00059952,0,0,0.000119904,0,0,0.000239808,0,0.000239808,0.028657074,0,0,0,0,3.24E-03,0.000119904,0,1.20E-04,0.00059952,0.000119904
0,0,0,0,0.00073944,0,0,0,9.243E-05,0,9.243E-05,0.992698031,0,0,0,0,0,0,0.00055458,0,0,0,0.00055458,0,0,0,0,0,0,0,0,0,0.00018486,0,0,0.004251779,0,0,0,0,9.243E-05,0,0,9.243E-05,0.00036972,0.00027729
0,0.88034188,0.008547009,0,0.017094017,0,0,0,0,0,0,0.042735043,0,0,0,0,0,0,0.017094017,0,0,0,0,0,0,0,0,0,0.008547009,0,0,0,0,0,0,0,0,0,0.017094017,0,0.008547009,0,0,0,0,0
0.005291005,0.80952381,0,0.005291005,0.031746032,0,0,0,0,0,0,0.105820106,0,0,0,0,0,0,0.010582011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010582011,0,0,0,0,0,0.010582011,0,0.010582011,0,0,0,0,0
0.005,0.89,0,0.005,0.005,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.015,0,0,0,0,0,0,0
0,0.65932914,0,0,0.003144654,0,0,0,0.006289308,0,0,0.329140461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048218,0,0,0,0,0,0.001048218
0,0.947598253,0,0,0.004366812,0,0.004366812,0,0.008733624,0,0,0.034934498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000413565,0,0,0.000413565,0.002067825,0,0.00082713,0,0,0,0,0.774607113,0,0,0,0,0,0,0.003722084,0.00165426,0,0,0,0,0,0,0.018196857,0,0.000413565,0,0,0,0.005376344,0,0,0.187758478,0.002067825,0,0,0,0.002067825,0,0,0,0,0.000413565
0,0,0,0,0,0,0,0,0.000223264,0.001339585,0,0.99620451,0,0,0,0,0,0,0.000446528,0.000223264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001562849,0,0,0,0,0,0,0,0,0,0
0.000320102,0.000320102,0,0,0.000640205,0,0,0,0,0,0,0.993918054,0,0,0,0,0,0,0.000960307,0.000320102,0.000640205,0,0,0,0,0,0,0,0,0,0,0,0.001920615,0,0,0.000640205,0,0,0,0,0.000320102,0,0,0,0,0
0,0,0,0,0.015625,0,0,0,0,0,0,0.9609375,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0.01171875,0,0,0,0,0,0,0
0,0,0,0.001038422,0.003115265,0,0,0,0,0.002076843,0,0.983385254,0,0,0,0,0,0,0.003115265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623053,0,0,0,0,0.001038422,0,0,0,0,0
0,0,0,0,0.003174603,0,0,0,0,0,0,0.992063492,0,0,0,0,0,0,0,0,0,0,0.001587302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001587302,0,0.001587302,0,0,0,0,0
0,0.002959674,0,0,0,0,0,0,0.004809471,0,0,0.990751017,0.000369959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000369959,0,0,0.000739919,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.002264151,0,0,0,0,0,0.991698113,0,0,0,0,0,0,0.002264151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000754717,0,0,0.003018868,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000437637,0,0.000437637,0,0.00131291,0,0,0.98512035,0,0,0,0,0,0,0.00131291,0,0,0,0,0,0,0,0.000875274,0,0,0,0,0.000437637,0.002188184,0,0,0.007439825,0,0,0.000437637,0,0,0,0,0,0,0
0,0.000252781,0,0,0.000252781,0,0,0,0.000252781,0,0,0.977249747,0,0,0,0,0,0,0.001263903,0.000758342,0.005308392,0,0,0,0,0,0.000252781,0,0,0,0,0,0.014155713,0,0,0,0,0,0,0,0.000252781,0,0,0,0,0
0,0.920353982,0,0.001769912,0,0,0,0,0,0,0,0.076106195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001769912,0,0,0,0,0,0,0,0,0,0
0,0.632352941,0,0.007352941,0.014705882,0,0,0,0,0,0,0.301470588,0,0,0,0,0,0,0.007352941,0,0,0,0,0,0,0,0,0,0,0.007352941,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0
0,0.925465839,0,0,0.00310559,0,0,0,0,0,0,0.00931677,0,0,0,0.00310559,0.00310559,0,0.00310559,0,0,0,0,0,0,0,0,0,0,0,0,0.00310559,0.049689441,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.971952535,0,0,0.004314995,0,0,0,0,0,0,0.012944984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002157497,0,0,0,0,0,0,0,0,0.003236246,0,0,0.003236246,0,0.002157497,0,0,0,0,0
0,0.647727273,0,0.045454545,0.068181818,0,0.011363636,0,0,0,0,0.045454545,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0.011363636,0.102272727,0,0,0,0,0,0.034090909,0,0,0,0,0,0,0
0,0.291139241,0,0,0.008438819,0,0,0,0,0,0,0.700421941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.029126214,0,0,0,0,0,0,0,0,0,0.961165049,0,0,0,0,0,0,0.009708738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.705882353,0,0,0.019607843,0,0,0,0,0,0,0.196078431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039215686,0,0,0,0,0,0,0,0.039215686,0,0,0,0,0
0,0.760869565,0,0,0,0,0,0,0,0,0,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0
0,0.878787879,0,0,0.03030303,0,0,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.045454545,0,0,0,0,0,0,0.772727273,0,0,0,0,0,0,0.045454545,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0
0,0.000366972,0,0.000366972,0.002568807,0,0,0,0,0,0,0.994862385,0,0,0,0,0,0,0.001100917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000733945,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.052910053,0,0,0,0,0,0,0.708994709,0,0,0,0,0,0,0.063492063,0,0,0,0,0,0.005291005,0,0,0,0,0,0,0,0.047619048,0,0,0.111111111,0,0,0,0,0.010582011,0,0,0,0,0
0,0,0,0,0.000755858,0,0,0,0,0,0,0.993197279,0,0,0,0,0,0,0.000755858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002267574,0,0,0.000755858,0,0,0.002267574,0,0,0,0,0,0,0
0,0,0,0,0.013173653,0,0,0,0,0,0,0.916167665,0,0,0,0,0,0,0.032335329,0,0,0,0,0,0,0,0.008383234,0,0,0,0,0.001197605,0.001197605,0,0,0.02754491,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.026845638,0,0,0,0,0,0,0.966442953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006711409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000259202,0,0,0,0,0,0,0,0.999481597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000259202,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004807692,0,0.004807692,0,0.163461538,0.002403846,0,0,0.019230769,0,0,0.298076923,0,0,0,0,0,0,0.269230769,0,0,0.007211538,0.026442308,0,0,0,0,0,0.007211538,0,0,0,0.009615385,0,0,0.163461538,0,0,0.016826923,0,0.007211538,0,0,0,0,0
0,0,0,0,0.003391473,0.000968992,0,0,0.000484496,0,0,0.974321705,0,0,0,0,0,0,0.001453488,0.000968992,0,0,0,0,0,0,0.001937984,0,0,0,0,0,0.01501938,0,0,0.000484496,0,0,0.000968992,0,0,0,0,0,0,0
0,0,0,0,0.041420118,0,0,0,0,0,0,0.082840237,0,0,0,0,0.00591716,0,0.029585799,0,0,0,0,0,0,0,0.059171598,0,0,0,0,0,0,0,0,0.775147929,0,0,0.00591716,0,0,0,0,0,0,0
0,0.112359551,0,0,0.011235955,0,0,0,0.056179775,0,0,0.808988764,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.08801956,0,0,0.004889976,0,0,0,0.002444988,0,0,0.88997555,0,0,0,0.002444988,0,0,0,0,0,0,0,0,0,0,0,0,0.002444988,0,0,0,0.009779951,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.111111111,0,0.111111111,0,0,0.333333333,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.527272727,0,0,0,0,0,0,0,0,0,0.309090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0.127272727,0,0,0.018181818,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000755287,0,0,0,0,0,0,0.998489426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000755287,0,0,0,0,0,0,0
0,0.372519084,0,0.001526718,0.010687023,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.003053435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00610687,0,0,0,0,0,0.004580153,0,0.001526718,0,0,0,0,0
0,0,0,0.000233318,0.000699953,0,0,0,0,0,0,0.998133458,0,0,0,0,0,0,0.000466636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466636,0,0,0,0,0,0,0
0,0.00E+00,0,0.000230521,0.000461042,0,0,0,0,0,0,0.997925311,0,0,0,0,0.000230521,0,0,0,0,0,0,0,0,0,0,0,0.000230521,0,0,0.000230521,0.000230521,0,0,0,0,0,0,0,0.000461042,0,0,0,0,0
0,0,0,0,0.000283648,0,0.000141824,0,0.000141824,0.000283648,0,0.999007233,0,0,0,0,0,0,0.000141824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000574713,0,0,0,0,0,0,0.998275862,0,0,0,0,0,0,0.000574713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000574713,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.00056444,0.99943556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.000443459,0.000110865,0.999223947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110865,0,0,0.000110865,0,0,0,0,0,0,0,0,0,0
0,6.90274E-05,0,0,0.000138055,0,0,0,0,0.000897356,0.00027611,0.99813626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138055,0,0,0.000207082,0,0,0.000138055,0,0,0,0,0,0,0
0,0,0.000123962,0.000123962,0,0,0,0,0,0.000123962,0.000867733,0.998264535,0,0,0,0,0,0,0.000123962,0,0.000247924,0,0,0,0,0,0,0,0,0,0,0,0.000123962,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000203915,0,0,0,0,0.000611746,0.00E+00,0.994902121,0,0,0,0,0,0,0.00E+00,0,0,0,0.001427406,0,0,0,0,0,0,0,0,0,4.08E-04,0,0,0.001835237,0,0,0.00040783,0,0.000203915,0,0,0,0,0.00E+00
0,0,0,0,0.000492672,0,0,0,0,0,0.000246336,0.999137825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123168,0,0,0,0,0,0,0
0,0,0,0,0.000231777,0,0,0,0,0.000347665,0,0.996755128,0,0,0,0,0,0,0.001274771,0,0,0,0.000811218,0,0,0,0,0,0,0,0,0,0.000231777,0,0,0.000231777,0,0,0,0,0,0,0,0,0.000115888,0
0,0,0,0,0.000679579,0,0,0,0,0.001359157,0.000339789,0.995582739,0,0,0,0,0,0,0.001019368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000339789,0,0,0,0.000339789,0,0,0,0,0,0,0,0.000339789,0
0,0,0,0,0,0,0,0,0,0.000400521,0.00010013,0.999399219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.26537E-05,0.999789385,0,0,0,0,0,0,5.26537E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26537E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.26537E-05
0,0,0.000512033,0,0.001024066,0,0,0,0,0,0.000512033,0.995391705,0,0,0,0,0,0,0,0,0.000512033,0,0,0,0,0,0,0,0,0.000512033,0,0,0,0,0,0,0,0,0.001536098,0,0,0,0,0,0,0
0,0.0001734,0,0.000520201,0.0001734,0,0,0,0,0,0.000520201,0.998092596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001734,0,0.000346801,0,0,0,0,0
0,0,0,0.000111907,0.000335721,0,0,0,0,0,0,0.998880931,0,0,0,0,0,0,0,0,0.000447628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223814,0,0
0,0,0,0,0,0,0,0,0,0,0.000223314,0.999553372,0,0,0,0,0,0,0.000223314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000446678,0,0,0,0,0,0,0.997543272,0,0,0,0,0,0,0.000111669,0,0,0,0,0,0,0,0.000111669,0,0,0,0,0,0,0,0,0,0,0.001675042,0.000111669,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000128337,0,0,0,0,0.997818275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000128337,0.000128337,0,0.000128337,0.00038501,0,0,0,0,0.001283368,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.998891353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000739098,0,0,0,0,0.000369549,0,0,0,0,0,0,0,0
0,0.001440922,0,0,0.014409222,0,0,0,0,0,0,0.95389049,0,0,0,0,0,0,0,0,0.004322767,0,0,0,0,0,0,0,0.001440922,0,0,0,0.015850144,0,0,0.001440922,0,0,0,0,0.004322767,0,0,0,0,0.002881844
0,0,0.000685871,0.000685871,0.002743484,0,0,0,0,0,0.00E+00,0.985596708,0,0,0.000685871,0,0,0,0.000685871,0.002057613,0.002057613,0,0,0,0,0,1.37E-03,0,0.000685871,0,0,0.00E+00,2.06E-03,0,0,0.00E+00,0,0,0.000685871,0,0,0,0,0,0.00E+00,0
0.00E+00,0,0,0,0,0,0,0,0,0,0,0.998375305,0,0,0,0,0,0,0.000324939,0,0,0,0,0,0,0,0.000487409,0.00016247,0.00016247,0,0,0,0.000324939,0,0,0,0,0,0.00016247,0,0,0,0,0,0,0.00E+00
0,0,0,0,0.009025271,0,0,0,0,0.00E+00,0,0.97833935,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.001805054,0.001805054,0.00E+00,0.001805054,0.00E+00,0,0,0,0,0.003610108,0,0.001805054,0,0,0.001805054,0,0
0,0,0.00E+00,0.00E+00,0.002116402,0,0,0,0,0,0,0.992592593,0,0,0,0,0,0,0.001058201,0.00E+00,0.001058201,0,0.002116402,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,1.06E-03,0,0,0,0.00E+00,0,0,0
0,0,0,0,0.000140825,0,0,0,0.000140825,0.000563301,0.00028165,0.998028447,0,0,0,0,0,0,0,0.000563301,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,2.82E-04,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
0,0,0,0,0.00018546,0,0,0,0.00018546,0.00018546,9.273E-05,0.99860905,0,0,0,0,0,0,0.00027819,0,0,0,0,0,0,0,9.273E-05,0,0,0,0,9.273E-05,9.273E-05,0,0,9.273E-05,0,0,0,0,0,0,0,0,9.273E-05,0
5.84112E-05,0,0,0,0.000408879,0,0,0,0,0.000350467,0.000116822,0.997546729,0,0,0,0,0,0,0.00046729,0,0,0,0,0,0,0,0.000116822,0,0,0.000116822,0,0,0.000350467,0,0,0,0,0,0.000233645,0,0.000175234,0,0,0,0,5.84112E-05
0,0,0,0,0.001129731,0,0,0,0,9.41442E-05,0.000376577,0.953869328,0,0,0,0,0,0,0.000517793,0.000188288,0.000282433,0,4.70721E-05,0,0,0,0,0,0,0,0,4.70721E-05,0.000423649,4.70721E-05,0.000235361,0.042459047,0,0,0,0,0.000282433,0,0,0,0,0
0,0,6.43791E-05,6.43791E-05,0.000193137,0,0,0,0,0.000128758,0.000257516,0.998326144,0,0,0,0,0,0,0.000257516,6.43791E-05,0,0,0,0,0,0,0,0,0,6.43791E-05,0,0,0.000450653,0,0,0,0,0,6.43791E-05,0,0,0,6.43791E-05,0,0,0
0,0,0,0,0,0,0,0,0,0.00012097,0.000181455,0.999516119,0,0,0,0,0,0,0,0,6.04851E-05,0,0,0,0,0,0,0,0,0,0,0,6.04851E-05,0,0,0,0,6.04851E-05,0,0,0,0,0,0,0,0
0.000211999,0,0.000211999,0.002119992,0.005617978,0,0.000317999,0,0.000317999,0.000847997,0,0.979860081,0.000635997,0,0.000106,0.000423998,0.000106,0.000211999,0.000953996,0,0,0.000211999,0.000847997,0,0.000211999,0,0,0.000106,0.000211999,0.000847997,0,0,0.000847997,0,0,0.000635997,0,0,0.002331991,0.000211999,0.001271995,0,0,0,0.000211999,0.000106
0,0,0,0,0.004343105,0,0,0,0,0,0,0.989142237,0,0,0,0,0,0,0.001085776,0,0,0,0,0,0,0,0.001085776,0,0,0.001085776,0,0,0.003257329,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000389105,0.00077821,0.009727626,0.000194553,0.000389105,0,0.005252918,0.000389105,0,0.971011673,0.000194553,0,0.000389105,0,0,0,0.002918288,0.000194553,0.000389105,0.000389105,0.000389105,0,0,0,0,0,0,0.00077821,0,0,0.002529183,0,0,0.000194553,0,0.000389105,0.001361868,0,0.000972763,0,0.000194553,0,0.000389105,0.000194553
0,0,0,0,0.000747384,0,0,0,0,0.001494768,0,0.996263079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001494768,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000107101,0,0,0,0,0.000107101,0.000321302,0.998393488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535504,0,0,0,0,0.000535504,0,0,0,0,0,0,0,0
0.000295596,0,0.000147798,0.000295596,0.002808158,0,0,0,0,0.000591191,0,0.989949749,0,0,0,0,0,0,0,0.000443393,0,0,0,0,0.000147798,0,0,0.000443393,0,0.000738989,0,0.001477978,0.00133018,0,0,0.000147798,0,0,0.000443393,0,0.000295596,0,0,0.000295596,0.000147798,0
