trt,rep,city,Taxon,Gloniaceae,Elaphomycetaceae,Discinaceae,Pezizaceae,Pyronemataceae,Tuberaceae,Chaetosphaeriacea,Amanitaceae,Cortinariaceae,Hydnangiaceae,Inocybaceae,Strophariaceae,Tricholomataceae,Atheliaceae,Boletaceae,Gyroporaceae,Paxillaceae,Rhizopogonaceae,Sclerodermataceae,Suillaceae,Cantharellaceae,Clavulinaceae,Hydnaceae,Hysterangeaceae,Albatrellaceae,Russelaceae,Sebacinaceae,Bankeraceae,Thelaphoraceae
Rem,Rem Helsinki,Helsinki,39,0,0,0,0,0,0,0,4,4,377,0,4,0,1184,88,0,0,0,0,0,0,0,0,0,0,317,0,0,5
Rem,Rem Helsinki,Helsinki,40,1,0,0,0,12,0,0,0,1,0,78,0,0,1244,0,0,0,2,0,0,2,0,17,0,0,88,0,0,8
Ref,Ref Lahti,Lahti,41,0,0,0,0,0,0,0,0,13,0,15,0,1,190,0,0,0,0,0,0,0,0,0,0,0,226,0,0,13
Ref,Ref Lahti,Lahti,42,0,0,0,0,0,0,33,0,15,7,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,8,0,0,61
Ref,Ref Lahti,Lahti,43,0,0,0,0,0,0,0,0,14,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,116,0,0,12
Ref,Ref Lahti,Lahti,44,0,0,0,0,0,0,0,1,196,0,998,0,0,120,1,0,0,0,0,0,0,0,0,0,7,10,0,0,69
Ref,Ref Lahti,Lahti,45,0,0,0,0,3,0,0,0,239,0,4845,0,0,1132,0,0,0,0,0,0,0,0,0,0,2,55,0,0,49
Rud,Rud Lahti,Lahti,46,0,0,0,0,0,0,0,0,6,0,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12
Rud,Rud Lahti,Lahti,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rud,Rud Lahti,Lahti,48,0,0,0,0,0,0,3,0,10,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3
Rud,Rud Lahti,Lahti,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rud,Rud Lahti,Lahti,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Turf,Turf Lahti,Lahti,51,0,0,0,0,0,0,0,4,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13
Turf,Turf Lahti,Lahti,52,0,0,0,0,0,0,3,0,13,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,25
Turf,Turf Lahti,Lahti,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turf,Turf Lahti,Lahti,54,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Turf,Turf Lahti,Lahti,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rem,Rem Lahti,Lahti,56,0,0,0,0,0,4,1,19,17,0,2,1,0,33,1,0,0,0,0,0,0,0,0,0,0,72,0,0,16
Rem,Rem Lahti,Lahti,57,0,0,0,0,0,0,0,0,0,0,128,0,0,19,0,0,0,3,0,0,0,0,0,0,0,111,0,0,3
Rem,Rem Lahti,Lahti,58,0,0,0,0,0,0,0,6,2,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,64,0,0,2
Rem,Rem Lahti,Lahti,59,0,0,0,0,54,0,0,17,120,3,2,29,1,248,8,0,0,17,0,0,0,0,0,0,0,940,0,4,68
Rem,Rem Lahti,Lahti,60,0,0,0,0,30,0,0,0,17,0,38,27,0,147,0,0,0,10,0,30,0,0,0,0,0,211,0,0,78
Ref,Ref Budapest,Budapest,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Ref,Ref Budapest,Budapest,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ref,Ref Budapest,Budapest,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ref,Ref Budapest,Budapest,64,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ref,Ref Budapest,Budapest,65,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Rud,Rud Budapest,Budapest,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rud,Rud Budapest,Budapest,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rud,Rud Budapest,Budapest,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
Rud,Rud Budapest,Budapest,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rud,Rud Budapest,Budapest,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Turf,Turf Budapest,Budapest,71,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Turf,Turf Budapest,Budapest,72,0,0,0,0,22,0,0,5,24,0,5,0,3,13,0,0,0,0,0,16,0,0,0,0,0,12,0,0,71
Turf,Turf Budapest,Budapest,73,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,7,0,0,30
Turf,Turf Budapest,Budapest,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Turf,Turf Budapest,Budapest,75,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rem,Rem Budapest,Budapest,76,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rem,Rem Budapest,Budapest,77,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Rem,Rem Budapest,Budapest,78,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,3,0,0,0,0,0,8,0,0,12
Rem,Rem Budapest,Budapest,79,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
Rem,Rem Budapest,Budapest,80,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ref,Ref Potchefstroom,Potchefstroom,81,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ref,Ref Potchefstroom,Potchefstroom,82,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
Ref,Ref Potchefstroom,Potchefstroom,83,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Ref,Ref Potchefstroom,Potchefstroom,84,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ref,Ref Potchefstroom,Potchefstroom,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rem,Rem Potchefstroom,Potchefstroom,86,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Rem,Rem Potchefstroom,Potchefstroom,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rem,Rem Potchefstroom,Potchefstroom,88,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Rem,Rem Potchefstroom,Potchefstroom,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rem,Rem Potchefstroom,Potchefstroom,90,0,0,0,0,13,0,0,0,5,0,0,3,3,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35
Turf,Turf Potchefstroom,Potchefstroom,91,0,0,0,0,2,0,0,3,2,0,0,6,0,6,0,3,0,0,3,5,0,0,0,0,0,10,0,0,9
Turf,Turf Potchefstroom,Potchefstroom,92,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,849,33,0,0,0,0,0,0,0,0,0,34
Turf,Turf Potchefstroom,Potchefstroom,93,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Turf,Turf Potchefstroom,Potchefstroom,94,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,0,6,0,0,0
Turf,Turf Potchefstroom,Potchefstroom,95,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Rud,Rud Potchefstroom,Potchefstroom,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rud,Rud Potchefstroom,Potchefstroom,97,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rud,Rud Potchefstroom,Potchefstroom,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rud,Rud Potchefstroom,Potchefstroom,99,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Rud,Rud Potchefstroom,Potchefstroom,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
